kind,start_day,strength,peak_infectious,peak_day,cumulative_deaths,cumulative_infections,attack_rate,vaccinated
lockdown,40.0,0.75,133863.86229052363,200.0,8937.313803072222,893731.3803072202,0.8937313803072201,0.0
lockdown,40.0,0.825,134027.41354927426,213.0,8938.027375812611,893802.737581261,0.8938027375812609,0.0
lockdown,40.0,0.9,134097.37221191888,228.0,8938.506078757853,893850.6078757852,0.8938506078757852,0.0
lockdown,50.0,0.0,134503.70805828852,120.0,8941.076039269194,894107.603926919,0.894107603926919,0.0
lockdown,50.0,0.075,127284.25863486085,127.0,8893.59665168038,889359.6651680415,0.8893596651680414,0.0
lockdown,50.0,0.15,124775.86914293839,134.0,8876.42093557898,887642.0935578989,0.8876420935578989,0.0
lockdown,50.0,0.225,125014.77016438374,141.0,8878.023247244048,887802.3247244062,0.8878023247244062,0.0
lockdown,50.0,0.3,126472.03527822884,148.0,8887.953225190657,888795.322519066,0.888795322519066,0.0
lockdown,50.0,0.375,128178.70492453808,155.0,8899.663508416934,889966.3508416957,0.8899663508416957,0.0
lockdown,50.0,0.45,129753.50683543937,163.0,8910.077901413382,891007.7901413394,0.8910077901413395,0.0
lockdown,50.0,0.525,130960.93814641127,171.0,8918.232281308234,891823.2281308203,0.8918232281308204,0.0
lockdown,50.0,0.6,131877.91615579693,180.0,8924.172945899867,892417.2945899875,0.8924172945899875,0.0
lockdown,50.0,0.675,132526.50997642,190.0,8928.313223470604,892831.3223470586,0.8928313223470585,0.0
lockdown,50.0,0.75,132952.47123596718,201.0,8931.123449414039,893112.3449414046,0.8931123449414047,0.0
lockdown,50.0,0.825,133236.96081055165,213.0,8933.00791599082,893300.7915990809,0.8933007915990809,0.0
lockdown,50.0,0.9,133441.5913829719,228.0,8934.273306435758,893427.330643578,0.8934273306435779,0.0
lockdown,60.0,0.0,134503.70805828852,120.0,8941.076039269194,894107.603926919,0.894107603926919,0.0
lockdown,60.0,0.075,120853.93134239176,126.0,8847.202665264374,884720.2665264377,0.8847202665264378,0.0
lockdown,60.0,0.15,114189.44231903096,134.0,8799.230135122869,879923.0135122896,0.8799230135122896,0.0
lockdown,60.0,0.225,113182.18235128031,142.0,8791.97447059232,879197.4470592347,0.8791974470592347,0.0
lockdown,60.0,0.3,115495.01340458932,149.0,8809.276851534247,880927.6851534311,0.8809276851534311,0.0
lockdown,60.0,0.375,118998.38881443755,157.0,8835.381629416312,883538.1629416299,0.8835381629416299,0.0
lockdown,60.0,0.45,122523.84223529296,164.0,8860.692046105012,886069.2046105,0.8860692046105,0.0
lockdown,60.0,0.525,125458.86534573403,173.0,8881.310098861042,888131.0098861054,0.8881310098861054,0.0
lockdown,60.0,0.6,127728.41554494278,181.0,8896.628620610823,889662.8620610806,0.8896628620610806,0.0
lockdown,60.0,0.675,129353.89891102565,191.0,8907.415424713327,890741.5424713363,0.8907415424713363,0.0
lockdown,60.0,0.75,130439.2722249939,202.0,8914.779964821979,891477.9964821956,0.8914779964821956,0.0
lockdown,60.0,0.825,131214.89539895835,214.0,8919.736588832659,891973.6588832684,0.8919736588832684,0.0
lockdown,60.0,0.9,131719.776179071,229.0,8923.073121660067,892307.3121660054,0.8923073121660053,0.0
lockdown,70.0,0.0,134503.70805828852,120.0,8941.076039269194,894107.603926919,0.894107603926919,0.0
