kind,start_day,strength,peak_infectious,peak_day,cumulative_deaths,cumulative_infections,attack_rate,vaccinated
isolation,60.0,0.0,134503.70805828852,120.0,8941.076039269194,894107.603926919,0.894107603926919,0.0
isolation,60.0,0.025,94817.82767392248,125.0,8306.44049404737,830644.0494047381,0.8306440494047381,0.0
isolation,60.0,0.05,65103.43806995431,131.0,7544.416130323375,754441.6130323363,0.7544416130323364,0.0
isolation,60.0,0.075,43071.72608916244,139.0,6669.203971354151,666920.3971354181,0.6669203971354182,0.0
isolation,60.0,0.1,27043.194179080812,148.0,5694.455461945047,569445.5461958471,0.5694455461958471,0.0
isolation,60.0,0.125,15751.901474158874,159.0,4634.945802875316,463494.58059245,0.46349458059244997,0.0
isolation,60.0,0.15,8240.824982007367,169.0,3511.399574267365,351139.99602831894,0.35113999602831897,0.0
isolation,60.0,0.175,3762.6522716749746,170.0,2366.7543133000863,236677.14093498484,0.23667714093498485,0.0
isolation,60.0,0.2,1889.0860060269492,60.0,1326.8614801763488,132695.8423808782,0.1326958423808782,0.0
isolation,60.0,0.225,1889.0845517548485,60.0,667.354374495612,66737.62459812206,0.06673762459812206,0.0
isolation,60.0,0.25,1889.0860641820202,60.0,398.18272957425546,39818.321803464365,0.03981832180346437,0.0
isolation,60.0,0.275,1889.0859919910267,60.0,286.52317651690436,28652.318177348236,0.028652318177348236,0.0
isolation,60.0,0.3,1889.0860077606542,60.0,229.7231707449524,22972.317079703647,0.02297231707970365,0.0
isolation,70.0,0.0,134503.70805828852,120.0,8941.076039269194,894107.603926919,0.894107603926919,0.0
isolation,70.0,0.025,95227.7598609651,123.0,8310.924716113184,831092.471611319,0.8310924716113189,0.0
isolation,70.0,0.05,65898.71207974321,127.0,7557.677033610884,755767.7033610891,0.7557677033610891,0.0
isolation,70.0,0.075,44193.671284066026,131.0,6697.811872379609,669781.1872379628,0.6697811872379629,0.0
isolation,70.0,0.1,28466.030522520618,136.0,5748.865936637556,574886.5936641867,0.5748865936641867,0.0
isolation,70.0,0.125,17441.165740945267,139.0,4732.692690293835,473269.2690899596,0.47326926908995964,0.0
isolation,70.0,0.15,10167.720624853851,138.0,3683.2611331821477,368326.1173849573,0.3683261173849573,0.0
isolation,70.0,0.175,5905.2897262777,125.0,2664.4156567934356,266441.64618643373,0.26644164618643373,0.0
isolation,70.0,0.2,4935.929179498969,70.0,1793.9005385733105,179390.29085847558,0.17939029085847558,0.0
isolation,70.0,0.225,4935.928495484937,70.0,1195.9961193492811,119599.68198009364,0.11959968198009363,0.0
isolation,70.0,0.25,4935.933499293767,70.0,856.4966319327535,85649.66683714715,0.08564966683714714,0.0
isolation,70.0,0.275,4935.933322178972,70.0,668.9206171845619,66892.06180040856,0.06689206180040856,0.0
isolation,70.0,0.3,4935.933835362801,70.0,557.63164891827,55763.16489322097,0.05576316489322097,0.0
isolation,80.0,0.0,134503.70805828852,120.0,8941.076039269194,894107.603926919,0.894107603926919,0.0
isolation,80.0,0.025,96296.5833227706,121.0,8322.433703722569,832243.3703722579,0.8322433703722579,0.0
isolation,80.0,0.05,67954.28358596882,123.0,7591.364746623181,759136.474662317,0.7591364746623169,0.0
isolation,80.0,0.075,47112.67087110034,124.0,6769.358630742891,676935.8630742886,0.6769358630742885,0.0
isolation,80.0,0.1,32141.78268625122,124.0,5881.48008741156,588148.0087412084,0.5881480087412083,0.0
isolation,80.0,0.125,21804.398559035977,121.0,4960.433125733884,496043.31257642223,0.49604331257642226,0.0
isolation,80.0,0.15,15147.135159964097,113.0,4052.3460924121946,405234.6093081392,0.4052346093081392,0.0
isolation,80.0,0.175,12628.204341451716,80.0,3219.8792156748077,321987.9219710858,0.3219879219710858,0.0
isolation,80.0,0.2,12628.20471984724,80.0,2528.9148206177397,252891.48257806821,0.2528914825780682,0.0
isolation,80.0,0.225,12628.214749105267,80.0,2012.8117865123934,201281.17879884547,0.20128117879884547,0.0
