kind,start_day,strength,peak_infectious,peak_day,cumulative_deaths,cumulative_infections,attack_rate,vaccinated
vaccination,20.0,0.0075,8210.836132277866,130.0,1034.0202983392348,103402.0298339231,0.10340202983392309,892839.1449637285
vaccination,20.0,0.00833,5475.6660042545855,124.0,688.3106381242054,68831.06381242069,0.06883106381242068,928895.4637502155
vaccination,20.0,0.00917,3771.1661065147714,117.0,466.22230573458387,46622.23057345843,0.04662223057345843,952054.027493829
vaccination,20.0,0.01,2718.081374980453,111.0,327.973733963233,32797.37339632328,0.03279737339632328,966442.4934078197
vaccination,30.0,0.0,134503.70805828852,120.0,8941.076039269194,894107.603926919,0.894107603926919,0.0
vaccination,30.0,0.00083,115213.15337804437,122.0,8124.05901496052,812405.9014960523,0.8124059014960523,114814.51083324736
vaccination,30.0,0.00167,96890.97107719394,124.0,7282.932796215005,728293.2796215027,0.7282932796215027,221740.38066418094
vaccination,30.0,0.0025,80127.77266643064,127.0,6438.902590820095,643890.2590820092,0.6438902590820093,321545.66605865647
vaccination,30.0,0.00333,64861.50083000773,129.0,5586.309477192148,558630.9477192137,0.5586309477192136,417412.2461526737
vaccination,30.0,0.00417,51092.01170876799,130.0,4724.558143689427,472455.8143689435,0.4724558143689435,511020.30340113025
vaccination,30.0,0.005,39321.760264702985,132.0,3892.07639213441,389207.6392134414,0.3892076392134414,599401.3135014893
vaccination,30.0,0.00583,29525.018635691096,132.0,3106.119651545345,310611.96515453403,0.31061196515453404,681627.8444803074
vaccination,30.0,0.00667,21646.8983708831,131.0,2393.1813971337915,239318.1397133792,0.2393181397133792,755528.067687105
vaccination,30.0,0.0075,15763.365944038342,129.0,1801.3534828455154,180135.3482845517,0.1801353482845517,816521.2097291646
vaccination,30.0,0.00833,11500.742464047893,125.0,1335.6839278500322,133568.392785003,0.13356839278500302,864330.2128835691
vaccination,30.0,0.00917,8471.945745313233,121.0,985.3485129210392,98534.85129210369,0.0985348512921037,900190.9892570629
vaccination,30.0,0.01,6395.271649298573,116.0,736.938680599642,73693.86805996405,0.07369386805996404,925547.7417850465
vaccination,40.0,0.0,134503.70805828852,120.0,8941.076039269194,894107.603926919,0.894107603926919,0.0
vaccination,40.0,0.00083,117912.96465065946,121.0,8228.600638474629,822860.0638474632,0.8228600638474632,105662.29658057042
vaccination,40.0,0.00167,102148.15672003455,123.0,7500.819657180328,750081.9657180333,0.7500819657180332,201823.3233668118
vaccination,40.0,0.0025,87603.64981084295,124.0,6776.833837847345,677683.3837847355,0.6776833837847355,289766.85389818676
vaccination,40.0,0.00333,74175.19373921266,125.0,6051.515768562145,605151.5768562139,0.6051515768562139,372814.7874812307
vaccination,40.0,0.00417,61836.2960939396,126.0,5322.241216504679,532224.1216504683,0.5322241216504683,452950.6317358051
vaccination,40.0,0.005,50960.912046503036,127.0,4615.746539880568,461574.6539880563,0.4615746539880563,528439.813655596
vaccination,40.0,0.00583,41449.082929004115,127.0,3936.244769574335,393624.4769574335,0.3936244769574335,599696.0290419343
vaccination,40.0,0.00667,33253.2203688173,127.0,3292.2900114222093,329229.00114222063,0.32922900114222065,666373.5925209493
vaccination,40.0,0.0075,26543.259469170604,126.0,2715.894052134252,271589.40521342546,0.27158940521342545,725544.7932397876
vaccination,40.0,0.00833,21126.429256584535,124.0,2212.469507287434,221246.95072874334,0.22124695072874334,776919.3871608569
vaccination,40.0,0.00917,16806.996809110493,122.0,1784.1024899258746,178410.24899258776,0.17841024899258776,820446.3338276737
vaccination,40.0,0.01,13506.374760578894,119.0,1439.651807553625,143965.18075536235,0.14396518075536235,855331.8393567357
vaccination,50.0,0.0,134503.70805828852,120.0,8941.076039269194,894107.603926919,0.894107603926919,0.0
vaccination,50.0,0.00083,120654.9279217428,121.0,8332.283657598915,833228.3657598927,0.8332283657598928,96557.65081426407
vaccination,50.0,0.00167,107395.12357070672,122.0,7715.0295643270065,771502.956432702,0.7715029564327021,182161.50736471685
vaccination,50.0,0.0025,95142.6223577367,122.0,7105.795665151064,710579.5665151061,0.7105795665151061,258699.17843694994
vaccination,50.0,0.00333,83707.74656507134,123.0,6499.883531951168,649988.3531951185,0.6499883531951185,329661.8619645899
vaccination,50.0,0.00417,73024.82132274716,123.0,5893.854177614289,589385.4177614306,0.5893854177614306,397227.0692278175
vaccination,50.0,0.005,63381.610728699285,123.0,5307.113218309134,530711.3218309127,0.5307113218309127,460465.0443147984
vaccination,50.0,0.00583,54694.26890506864,123.0,4738.523984792178,473852.39847921714,0.4738523984792171,520358.9539536326
vaccination,50.0,0.00667,46879.149703182986,123.0,4188.789702223655,418878.970222366,0.418878970222366,577367.3055877223
vaccination,50.0,0.0075,40090.79299508613,123.0,3678.495311210149,367849.5311210144,0.3678495311210144,629724.027148481
vaccination,50.0,0.00833,34225.01459987954,122.0,3207.8242181164323,320782.4218116431,0.3207824218116431,677664.7153807945
vaccination,50.0,0.00917,29161.9585709746,120.0,2777.320307456339,277732.03074563405,0.2777320307456341,721290.85410664
vaccination,50.0,0.01,24946.628102619736,119.0,2400.321456620235,240032.1456620237,0.2400321456620237,759357.0975365085
vaccination,60.0,0.0,134503.70805828852,120.0,8941.076039269194,894107.603926919,0.894107603926919,0.0
vaccination,60.0,0.00083,123368.5375341779,120.0,8434.937167130805,843493.716713081,0.843493716713081,87515.89897179249
vaccination,60.0,0.00167,112682.35321128322,121.0,7925.404596154421,792540.4596154387,0.7925404596154387,162776.19289846643
vaccination,60.0,0.0025,102748.83310122216,121.0,7426.063605757451,742606.3605757473,0.7426063605757474,228335.4091586506
vaccination,60.0,0.00333,93396.664048165,121.0,6932.631660998931,693263.1660998939,0.6932631660998939,287869.127967262
vaccination,60.0,0.00417,84552.93912995016,121.0,6441.498149409877,644149.814940989,0.644149814940989,343688.848947659
vaccination,60.0,0.005,76441.77061934791,121.0,5966.921474493738,596692.1474493721,0.5966921474493722,395449.73871372506
vaccination,60.0,0.00583,68954.30182840078,121.0,5505.842155366972,550584.2155366981,0.5505842155366981,444355.708547246
vaccination,60.0,0.00667,62019.39062138212,120.0,5056.046795485638,505604.6795485634,0.5056046795485634,491168.0803410183
vaccination,60.0,0.0075,55800.91184374787,120.0,4631.329296692167,463132.9296692173,0.4631329296692173,534808.0640131969
vaccination,60.0,0.00833,50174.39772015966,119.0,4229.101915717038,422910.19157170394,0.42291019157170395,575783.6010412624
vaccination,60.0,0.00917,45064.928416756244,118.0,3847.4545936872864,384745.45936872845,0.38474545936872845,614435.7062962317
vaccination,60.0,0.01,40573.96469662993,118.0,3497.369274515177,349736.9274515177,0.34973692745151774,649750.4059563247
vaccination,70.0,0.0,134503.70805828852,120.0,8941.076039269194,894107.603926919,0.894107603926919,0.0
vaccination,70.0,0.00083,126080.4623850638,120.0,8536.077445678004,853607.7445677988,0.8536077445677988,78578.45810589865
vaccination,70.0,0.00167,117962.83935381392,120.0,8131.13814746269,813113.8147462695,0.8131138147462695,143746.15933919197
vaccination,70.0,0.0025,110345.92220701187,120.0,7736.864645870895,773686.4645870904,0.7736864645870904,198763.3872281008
vaccination,70.0,0.00333,103128.94813849422,120.0,7349.455273302212,734945.5273302216,0.7349455273302216,247491.43811078166
vaccination,70.0,0.00417,96233.5469038255,119.0,6965.518874534273,696551.8874534271,0.6965518874534271,292335.5920791205
vaccination,70.0,0.005,89870.61312172464,119.0,6595.386873622893,659538.6873622894,0.6595386873622894,333408.42488803243
