beta,infectious_period,latent_period,ifr,vaccination_rate,isolation_rate,initial_infected,peak_infectious,peak_day,cumulative_deaths,attack_rate
0.39671658937601517,9.411586436012538,6.227389113128687,0.009898331041227677,0.0007659185558908887,0.08529020715284344,17.455160660911897,55486.22515320929,146.0,6757.773816430897,0.6827185096440997
0.2895642692408969,4.537614212077763,6.646508095436466,0.012873353977515918,0.0021974997568659227,0.06770936192385238,20.947724656693925,20.947724656693925,0.0,2.5583369750560654,0.00019873119153907828
0.5258910279544136,8.227346173260882,6.26346774298406,0.004040456227796457,0.0018400787951644204,0.08013736959952877,41.049104241570376,73791.91131548933,99.0,2894.6062147027733,0.7164057847698561
0.49551577560001775,5.755721133524851,2.0143403084660805,0.00611283740660892,0.00020192592941153118,0.0018810000455374506,40.041863745196494,198306.59237297374,57.0,5595.523948241939,0.9153726127562823
0.5471909538595532,5.920966880215467,4.929980143391678,0.018419430934059962,0.004820974077735013,0.018023806101871123,3.7918798517966716,43046.967729673874,113.0,7927.922793995234,0.4304108428960992
0.3855963676540061,4.177149567614078,4.3960524067886,0.014795038704433753,0.002602934082731214,0.032523616462587134,42.36830618440068,437.61779911818616,132.0,238.6756037585024,0.01613213784205757
0.25400693421918585,4.714419059706752,6.825288631316784,0.018129858902003124,0.00015659248903466695,0.09121233954192104,85.64518494000522,85.64518494000522,0.0,9.163824592016633,0.0005054548315947375
0.2994454028886948,9.171025634335656,3.5353801008930112,0.00526475520389859,0.002177790888496407,0.07664437059472234,62.140896281092715,8288.640737472111,160.0,939.9901501947792,0.17854394246074534
0.3551351016436903,9.057171592946991,2.056945351421775,0.0056356033714576054,0.002009102492284733,0.04748472552729791,58.991753166567705,96814.14419006255,84.0,3737.0060250471543,0.6631066416018215
0.3062286258903088,9.41690004307959,6.5060945476745085,0.017868395208770593,0.0015580719496391593,0.07837184969061048,42.51761314279824,8583.843652600675,216.0,4062.72633283981,0.22736940198386035
